"principalsalesrep","customersoldto","customershipto","salesrepid"
"ALLREP","0030070570","0070090977","mysoza-vincentk"
"ALLREP","0030070570","0070090977","mysoza-ykleong"
"ALLREP","0030070570","0070090977","mysysmex-azaiton"
"ALLREP","0030070570","0070090977","mysysmex-fatihah"
"ALLREP","0030070570","0070090977","mysysmex-junweil"
"ALLREP","0030070570","0070090977","mysysmex-junxians"
"ALLREP","0030070570","0070090977","mysysmex-nur"
"ALLREP","0030070570","0070090977","mysysmex-revathy"
"ALLREP","0030070570","0070090977","mysysmex-ryanphang"
"ALLREP","0030070570","0070090977","regepplus_elvin.tan"
"ALLREP","0030070570","0070090977","regepplus_h.lee"
"ALLREP","0030070570","0070090977","regepplus_kyeli.kee"
"ALLREP","0030070570","0070090977","regepplus_pl.yeoh"
"ALLREP","0030070570","0070090977","regepplus_tracy.lin"
"ALLREP","0030070570","0070090977","regnovo-kaan"
"ALLREP","0030070570","0070090977","swng"
"E003","0030070570","0070090977","adwong"
"E003","0030070570","0070090977","aysuhendra"
"E003","0030070570","0070090977","byew"
"E003","0030070570","0070090977","ckchia"
"E003","0030070570","0070090977","cmchoong"
"E003","0030070570","0070090977","jnardo"
"E003","0030070570","0070090977","jnto"
"E003","0030070570","0070090977","jsteoh"
"E003","0030070570","0070090977","khwang"
"E003","0030070570","0070090977","kskhoo"
"E003","0030070570","0070090977","mcting"
"E003","0030070570","0070090977","nfoo"
"E003","0030070570","0070090977","nimnordin"
"E003","0030070570","0070090977","pelng"
"E003","0030070570","0070090977","raclee"
"E003","0030070570","0070090977","sctan"
"E003","0030070570","0070090977","scyau"
"E003","0030070570","0070090977","stcheah"
"E003","0030070570","0070090977","wkhoo"
"E003","0030070570","0070090977","wmteng"
"E003","0030070570","0070090977","yfuchan"
"E101","0030070570","0070090977","adwong"
"E101","0030070570","0070090977","aysuhendra"
"E101","0030070570","0070090977","benedicts"
"E101","0030070570","0070090977","ckchia"
"E101","0030070570","0070090977","ing"
"E101","0030070570","0070090977","jnardo"
